Date & Time;use [kW];Grid [kW]
2012-08-19 0:00;2.125154444;2.125154444
2012-08-19 0:15;4.34676;4.34676
2012-08-19 0:30;4.25476;4.25476
2012-08-19 0:45;2.111193333;2.111193333
2012-08-19 1:00;1.848721111;1.848721111
2012-08-19 1:15;1.308872222;1.308872222
2012-08-19 1:30;3.102572222;3.102572222
2012-08-19 1:45;2.440007778;2.440007778
2012-08-19 2:00;0.996727778;0.996727778
2012-08-19 2:15;0.626387778;0.626387778
2012-08-19 2:30;0.850985556;0.850985556
2012-08-19 2:45;3.131542222;3.131542222
2012-08-19 3:00;1.723671111;1.723671111
2012-08-19 3:15;0.673351111;0.673351111
2012-08-19 3:30;0.670267778;0.670267778
2012-08-19 3:45;0.675437778;0.675437778
2012-08-19 4:00;2.905021111;2.905021111
2012-08-19 4:15;2.458971111;2.458971111
2012-08-19 4:30;0.532858889;0.532858889
2012-08-19 4:45;0.578951111;0.578951111
2012-08-19 5:00;0.662125556;0.662125556
2012-08-19 5:15;0.566808889;0.566808889
2012-08-19 5:30;0.760278889;0.760278889
2012-08-19 5:45;2.853117778;2.853117778
2012-08-19 6:00;2.250278889;2.250278889
2012-08-19 6:15;0.573481111;0.573481111
2012-08-19 6:30;0.696907778;0.696907778
2012-08-19 6:45;0.718037778;0.718037778
2012-08-19 7:00;0.664336667;0.664336667
2012-08-19 7:15;0.671637778;0.671637778
2012-08-19 7:30;1.996136667;1.996136667
2012-08-19 7:45;3.159567778;3.159567778
2012-08-19 8:00;2.769966667;2.769966667
2012-08-19 8:15;0.68644;0.68644
2012-08-19 8:30;0.870845556;0.870845556
2012-08-19 8:45;2.740214444;2.740214444
2012-08-19 9:00;3.12128;3.12128
2012-08-19 9:15;1.825402222;1.825402222
2012-08-19 9:30;0.714102222;0.714102222
2012-08-19 9:45;2.692056667;2.692056667
2012-08-19 10:00;3.943013333;3.943013333
2012-08-19 10:15;4.028592222;4.028592222
2012-08-19 10:30;3.916954444;3.916954444
2012-08-19 10:45;3.366713333;3.366713333
2012-08-19 11:00;1.551375556;1.551375556
2012-08-19 11:15;1.482884444;1.482884444
2012-08-19 11:30;2.906227778;2.906227778
2012-08-19 11:45;2.585248889;2.585248889
2012-08-19 12:00;1.375653333;1.375653333
2012-08-19 12:15;1.37387;1.37387
2012-08-19 12:30;1.452807778;1.452807778
2012-08-19 12:45;1.459982222;1.459982222
2012-08-19 13:00;1.395606667;1.395606667
2012-08-19 13:15;1.449467778;1.449467778
2012-08-19 13:30;1.219297778;1.219297778
2012-08-19 13:45;1.297291111;1.297291111
2012-08-19 14:00;6.006261111;6.006261111
2012-08-19 14:15;5.912048889;5.912048889
2012-08-19 14:30;5.954054444;5.954054444
2012-08-19 14:45;5.933017778;5.933017778
2012-08-19 15:00;5.333395556;5.333395556
2012-08-19 15:15;3.431738889;3.431738889
2012-08-19 15:30;3.538653333;3.538653333
2012-08-19 15:45;3.494288889;3.494288889
2012-08-19 16:00;3.515578889;3.515578889
2012-08-19 16:15;3.641607778;3.641607778
2012-08-19 16:30;3.97912;3.97912
2012-08-19 16:45;4.009222222;4.009222222
2012-08-19 17:00;4.277307778;4.277307778
2012-08-19 17:15;4.293732222;4.293732222
2012-08-19 17:30;5.4229;5.4229
2012-08-19 17:45;6.797473333;6.797473333
2012-08-19 18:00;7.064604444;7.064604444
2012-08-19 18:15;7.200261111;7.200261111
2012-08-19 18:30;9.111133333;9.111133333
2012-08-19 18:45;8.640983333;8.640983333
2012-08-19 19:00;7.369621111;7.369621111
2012-08-19 19:15;7.321251111;7.321251111
2012-08-19 19:30;7.071178889;7.071178889
2012-08-19 19:45;5.007425556;5.007425556
2012-08-19 20:00;4.942845556;4.942845556
2012-08-19 20:15;4.853853333;4.853853333
2012-08-19 20:30;5.263406667;5.263406667
2012-08-19 20:45;5.099633333;5.099633333
2012-08-19 21:00;5.410911111;5.410911111
2012-08-19 21:15;5.096735556;5.096735556
2012-08-19 21:30;7.368555556;7.368555556
2012-08-19 21:45;7.371133333;7.371133333
2012-08-19 22:00;5.269611111;5.269611111
2012-08-19 22:15;5.151412222;5.151412222
