Date & Time;use [kW];Grid [kW]
2012-08-19 0:00;3.401311111;3.401311111
2012-08-19 0:15;1.498417778;1.498417778
2012-08-19 0:30;0.398497778;0.398497778
2012-08-19 0:45;0.507443333;0.507443333
2012-08-19 1:00;2.737567778;2.737567778
2012-08-19 1:15;1.79712;1.79712
2012-08-19 1:30;0.415684444;0.415684444
2012-08-19 1:45;0.483352222;0.483352222
2012-08-19 2:00;0.524247778;0.524247778
2012-08-19 2:15;3.000537778;3.000537778
2012-08-19 2:30;0.430043333;0.430043333
2012-08-19 2:45;0.470044444;0.470044444
2012-08-19 3:00;0.430925556;0.430925556
2012-08-19 3:15;0.926097778;0.926097778
2012-08-19 3:30;2.634513333;2.634513333
2012-08-19 3:45;0.47307;0.47307
2012-08-19 4:00;0.425505556;0.425505556
2012-08-19 4:15;0.456926667;0.456926667
2012-08-19 4:30;0.442358889;0.442358889
2012-08-19 4:45;0.454271111;0.454271111
2012-08-19 5:00;3.132934444;3.132934444
2012-08-19 5:15;0.407763333;0.407763333
2012-08-19 5:30;0.347908889;0.347908889
2012-08-19 5:45;0.429692222;0.429692222
2012-08-19 6:00;1.023016667;1.023016667
2012-08-19 6:15;0.646582222;0.646582222
2012-08-19 6:30;0.900868889;0.900868889
2012-08-19 6:45;0.962661111;0.962661111
2012-08-19 7:00;2.143761111;2.143761111
2012-08-19 7:15;1.750102222;1.750102222
2012-08-19 7:30;1.313312222;1.313312222
2012-08-19 7:45;1.145546666;1.145546666
2012-08-19 8:00;1.493747777;1.493747777
2012-08-19 8:15;2.785274444;2.785274444
2012-08-19 8:30;1.600491111;1.600491111
2012-08-19 8:45;2.194973334;2.194973334
2012-08-19 9:00;3.665495556;3.665495556
2012-08-19 9:15;0.820703334;0.820703334
2012-08-19 9:30;2.92347;2.92347
2012-08-19 9:45;1.7459;1.7459
2012-08-19 10:00;0.751088889;0.751088889
2012-08-19 10:15;2.993898889;2.993898889
2012-08-19 10:30;0.743044444;0.743044444
2012-08-19 10:45;1.107694444;1.107694444
2012-08-19 11:00;2.641883333;2.641883333
2012-08-19 11:15;0.657113333;0.657113333
2012-08-19 11:30;1.068001111;1.068001111
2012-08-19 11:45;3.810975556;3.810975556
2012-08-19 12:00;0.926407778;0.926407778
2012-08-19 12:15;2.634957777;2.634957777
2012-08-19 12:30;3.008483333;3.008483333
2012-08-19 12:45;1.306338889;1.306338889
2012-08-19 13:00;3.82488;3.82488
2012-08-19 13:15;2.356526667;2.356526667
2012-08-19 13:30;2.345312222;2.345312222
2012-08-19 13:45;2.866268889;2.866268889
2012-08-19 14:00;1.004906667;1.004906667
2012-08-19 14:15;0.919866667;0.919866667
2012-08-19 14:30;0.79862;0.79862
2012-08-19 14:45;3.18091;3.18091
2012-08-19 15:00;2.681197778;2.681197778
2012-08-19 15:15;1.360963333;1.360963333
2012-08-19 15:30;3.75203;3.75203
2012-08-19 15:45;1.110541111;1.110541111
2012-08-19 16:00;2.183923333;2.183923333
2012-08-19 16:15;1.775251111;1.775251111
2012-08-19 16:30;0.496751112;0.496751112
2012-08-19 16:45;3.200917778;3.200917778
2012-08-19 17:00;1.312807778;1.312807778
2012-08-19 17:15;1.290334445;1.290334445
2012-08-19 17:30;3.206672222;3.206672222
2012-08-19 17:45;0.417405556;0.417405556
2012-08-19 18:00;2.658161111;2.658161111
2012-08-19 18:15;1.627271111;1.627271111
2012-08-19 18:30;1.171398889;1.171398889
2012-08-19 18:45;4.23385;4.23385
2012-08-19 19:00;4.05044;4.05044
2012-08-19 19:15;4.407721111;4.407721111
2012-08-19 19:30;3.949188889;3.949188889
2012-08-19 19:45;1.022926667;1.022926667
2012-08-19 20:00;2.246902222;2.246902222
2012-08-19 20:15;2.707595556;2.707595556
2012-08-19 20:30;3.810842222;3.810842222
2012-08-19 20:45;2.634788889;2.634788889
2012-08-19 21:00;0.849827778;0.849827778
2012-08-19 21:15;3.715006667;3.715006667
2012-08-19 21:30;0.992811111;0.992811111
2012-08-19 21:45;0.822516667;0.822516667
2012-08-19 22:00;3.307805556;3.307805556
2012-08-19 22:15;0.693585555;0.693585555
2012-08-19 22:30;0.282116667;0.282116667
2012-08-19 22:45;0.418703334;0.418703334
2012-08-19 23:00;2.725495556;2.725495556
2012-08-19 23:15;0.429341111;0.429341111
2012-08-19 23:30;1.781151111;1.781151111
2012-08-19 23:45;0.340224444;0.340224444
2012-08-20 0:00;0.405624444;0.405624444
2012-08-20 0:15;0.69926;0.69926
2012-08-20 0:30;2.025893333;2.025893333
2012-08-20 0:45;0.398941111;0.398941111
2012-08-20 1:00;0.82849;0.82849
2012-08-20 1:15;3.633067778;3.633067778
2012-08-20 1:30;1.678041111;1.678041111
2012-08-20 1:45;0.395154444;0.395154444
2012-08-20 2:00;0.721654444;0.721654444
2012-08-20 2:15;2.268467778;2.268467778
2012-08-20 2:30;0.443816667;0.443816667
2012-08-20 2:45;0.349335556;0.349335556
2012-08-20 3:00;2.118968889;2.118968889
2012-08-20 3:15;1.185087778;1.185087778
2012-08-20 3:30;0.348817778;0.348817778
2012-08-20 3:45;0.383522222;0.383522222
2012-08-20 4:00;0.249134444;0.249134444
2012-08-20 4:15;2.467622222;2.467622222
2012-08-20 4:30;0.403977778;0.403977778
2012-08-20 4:45;0.379906667;0.379906667
2012-08-20 5:00;0.460522222;0.460522222
2012-08-20 5:15;0.857793333;0.857793333
2012-08-20 5:30;1.373936667;1.373936667
2012-08-20 5:45;0.285465556;0.285465556
2012-08-20 6:00;0.864118889;0.864118889
2012-08-20 6:15;2.515067778;2.515067778
2012-08-20 6:30;0.826355556;0.826355556
2012-08-20 6:45;0.901795555;0.901795555
2012-08-20 7:00;0.880884444;0.880884444
2012-08-20 7:15;0.670843333;0.670843333
2012-08-20 7:30;0.495752222;0.495752222
2012-08-20 7:45;0.542227778;0.542227778
2012-08-20 8:00;0.966057778;0.966057778
2012-08-20 8:15;1.008393333;1.008393333
2012-08-20 8:30;0.511162222;0.511162222
2012-08-20 8:45;0.415906667;0.415906667
2012-08-20 9:00;0.281711111;0.281711111
2012-08-20 9:15;0.36804;0.36804
2012-08-20 9:30;0.314791111;0.314791111
2012-08-20 9:45;0.327405556;0.327405556
2012-08-20 10:00;0.505236667;0.505236667
2012-08-20 10:15;0.42627;0.42627
2012-08-20 10:30;0.458603333;0.458603333
2012-08-20 10:45;0.497303333;0.497303333
2012-08-20 11:00;0.518285555;0.518285555
2012-08-20 11:15;1.481125556;1.481125556
2012-08-20 11:30;4.171518888;4.171518888
2012-08-20 11:45;1.822653333;1.822653333
2012-08-20 12:00;0.814925556;0.814925556
2012-08-20 12:15;3.559521111;3.559521111
2012-08-20 12:30;0.715128889;0.715128889
2012-08-20 12:45;3.183155556;3.183155556
2012-08-20 13:00;2.987128889;2.987128889
2012-08-20 13:15;2.167234444;2.167234444
2012-08-20 13:30;2.620277778;2.620277778
2012-08-20 13:45;3.555742222;3.555742222
2012-08-20 14:00;3.198704444;3.198704444
2012-08-20 14:15;3.315394444;3.315394444
2012-08-20 14:30;0.65578;0.65578
2012-08-20 14:45;3.634011111;3.634011111
2012-08-20 15:00;0.463842222;0.463842222
2012-08-20 15:15;1.878791111;1.878791111
2012-08-20 15:30;2.503566667;2.503566667
2012-08-20 15:45;1.503475556;1.503475556
2012-08-20 16:00;4.511537778;4.511537778
2012-08-20 16:15;2.92727;2.92727
2012-08-20 16:30;2.515678889;2.515678889
2012-08-20 16:45;2.274284444;2.274284444
2012-08-20 17:00;2.136394444;2.136394444
2012-08-20 17:15;3.62499;3.62499
2012-08-20 17:30;1.077695556;1.077695556
2012-08-20 17:45;4.442708889;4.442708889
2012-08-20 18:00;1.644882223;1.644882223
2012-08-20 18:15;5.051017778;5.051017778
2012-08-20 18:30;4.114127778;4.114127778
2012-08-20 18:45;4.669403333;4.669403333
2012-08-20 19:00;4.872538889;4.872538889
2012-08-20 19:15;5.527406667;5.527406667
2012-08-20 19:30;4.564892222;4.564892222
2012-08-20 19:45;4.449214445;4.449214445
2012-08-20 20:00;4.576694444;4.576694444
2012-08-20 20:15;4.571123333;4.571123333
2012-08-20 20:30;4.234285555;4.234285555
2012-08-20 20:45;1.256252223;1.256252223
2012-08-20 21:00;4.366101111;4.366101111
2012-08-20 21:15;2.533461111;2.533461111
2012-08-20 21:30;2.702137778;2.702137778
2012-08-20 21:45;3.087545556;3.087545556
2012-08-20 22:00;0.793442222;0.793442222
2012-08-20 22:15;1.586474444;1.586474444
2012-08-20 22:30;2.953354445;2.953354445
2012-08-20 22:45;0.488404445;0.488404445
2012-08-20 23:00;0.695074445;0.695074445
2012-08-20 23:15;3.526463333;3.526463333
2012-08-20 23:30;0.395484444;0.395484444
2012-08-20 23:45;0.472417778;0.472417778
2012-08-21 0:00;2.820704444;2.820704444
2012-08-21 0:15;0.417577778;0.417577778
2012-08-21 0:30;0.459802222;0.459802222
2012-08-21 0:45;2.766224444;2.766224444
2012-08-21 1:00;0.468308889;0.468308889
2012-08-21 1:15;0.380471111;0.380471111
2012-08-21 1:30;2.524766667;2.524766667
2012-08-21 1:45;0.442048889;0.442048889
2012-08-21 2:00;0.343674444;0.343674444
2012-08-21 2:15;2.582731111;2.582731111
2012-08-21 2:30;0.318717778;0.318717778
2012-08-21 2:45;0.311768889;0.311768889
2012-08-21 3:00;2.122178889;2.122178889
2012-08-21 3:15;0.702583334;0.702583334
2012-08-21 3:30;0.486381111;0.486381111
2012-08-21 3:45;0.368505555;0.368505555
2012-08-21 4:00;2.553364444;2.553364444
2012-08-21 4:15;0.438538889;0.438538889
2012-08-21 4:30;0.266515556;0.266515556
2012-08-21 4:45;0.377805556;0.377805556
2012-08-21 5:00;0.435344445;0.435344445
2012-08-21 5:15;2.773708889;2.773708889
2012-08-21 5:30;1.669507778;1.669507778
2012-08-21 5:45;2.182611111;2.182611111
2012-08-21 6:00;1.731143333;1.731143333
2012-08-21 6:15;2.764277778;2.764277778
2012-08-21 6:30;1.879682222;1.879682222
2012-08-21 6:45;3.051654445;3.051654445
2012-08-21 7:00;1.002265556;1.002265556
2012-08-21 7:15;2.508202223;2.508202223
2012-08-21 7:30;4.618791111;4.618791111
2012-08-21 7:45;2.350332223;2.350332223
2012-08-21 8:00;5.146157778;5.146157778
2012-08-21 8:15;5.173887777;5.173887777
2012-08-21 8:30;2.052;2.052
2012-08-21 8:45;2.973703333;2.973703333
2012-08-21 9:00;4.508104444;4.508104444
2012-08-21 9:15;1.430752222;1.430752222
2012-08-21 9:30;3.24715;3.24715
2012-08-21 9:45;2.170405555;2.170405555
2012-08-21 10:00;1.764052222;1.764052222
