Date & Time;use [kW];Grid [kW]
2012-08-19 0:00;0.710456667;0.710456667
2012-08-19 0:15;2.176128889;2.176128889
2012-08-19 0:30;1.129501111;1.129501111
2012-08-19 0:45;0.757321111;0.757321111
2012-08-19 1:00;0.748851111;0.748851111
2012-08-19 1:15;2.032167778;2.032167778
2012-08-19 1:30;0.684901111;0.684901111
2012-08-19 1:45;0.767624444;0.767624444
2012-08-19 2:00;2.235508889;2.235508889
2012-08-19 2:15;2.054805556;2.054805556
2012-08-19 2:30;2.067841111;2.067841111
2012-08-19 2:45;1.363206667;1.363206667
2012-08-19 3:00;2.964848889;2.964848889
2012-08-19 3:15;0.801895556;0.801895556
2012-08-19 3:30;1.606441111;1.606441111
2012-08-19 3:45;1.737895556;1.737895556
2012-08-19 4:00;0.743903333;0.743903333
2012-08-19 4:15;2.086306667;2.086306667
2012-08-19 4:30;0.858888889;0.858888889
2012-08-19 4:45;0.74159;0.74159
2012-08-19 5:00;2.019047778;2.019047778
2012-08-19 5:15;1.281765556;1.281765556
2012-08-19 5:30;0.593324444;0.593324444
2012-08-19 5:45;0.685187778;0.685187778
2012-08-19 6:00;2.351135556;2.351135556
2012-08-19 6:15;0.566053333;0.566053333
2012-08-19 6:30;0.937514444;0.937514444
2012-08-19 6:45;2.807225556;2.807225556
2012-08-19 7:00;1.33289;1.33289
2012-08-19 7:15;0.768315556;0.768315556
2012-08-19 7:30;1.462477778;1.462477778
2012-08-19 7:45;1.423857778;1.423857778
2012-08-19 8:00;2.556156667;2.556156667
2012-08-19 8:15;1.76484;1.76484
2012-08-19 8:30;1.696195556;1.696195556
2012-08-19 8:45;0.934658889;0.934658889
2012-08-19 9:00;0.908145556;0.908145556
2012-08-19 9:15;0.998448889;0.998448889
2012-08-19 9:30;1.389426667;1.389426667
2012-08-19 9:45;1.206971111;1.206971111
2012-08-19 10:00;1.017978889;1.017978889
2012-08-19 10:15;1.251448889;1.251448889
2012-08-19 10:30;1.396307778;1.396307778
2012-08-19 10:45;0.92378;0.92378
2012-08-19 11:00;0.805521111;0.805521111
2012-08-19 11:15;1.042464444;1.042464444
2012-08-19 11:30;0.758542222;0.758542222
2012-08-19 11:45;0.932744444;0.932744444
2012-08-19 12:00;0.962855556;0.962855556
2012-08-19 12:15;0.809012222;0.809012222
2012-08-19 12:30;1.326005556;1.326005556
2012-08-19 12:45;3.561981111;3.561981111
2012-08-19 13:00;1.497873333;1.497873333
2012-08-19 13:15;0.916581111;0.916581111
2012-08-19 13:30;2.324115556;2.324115556
2012-08-19 13:45;2.706221111;2.706221111
2012-08-19 14:00;0.71976;0.71976
2012-08-19 14:15;1.838773333;1.838773333
2012-08-19 14:30;2.469596667;2.469596667
2012-08-19 14:45;0.753942222;0.753942222
2012-08-19 15:00;3.550963333;3.550963333
2012-08-19 15:15;0.936781111;0.936781111
2012-08-19 15:30;1.284881111;1.284881111
2012-08-19 15:45;4.088761111;4.088761111
2012-08-19 16:00;1.03368;1.03368
2012-08-19 16:15;1.975204444;1.975204444
2012-08-19 16:30;3.645505556;3.645505556
2012-08-19 16:45;1.11499;1.11499
2012-08-19 17:00;3.799024444;3.799024444
2012-08-19 17:15;2.495347778;2.495347778
2012-08-19 17:30;0.801225556;0.801225556
2012-08-19 17:45;3.934735556;3.934735556
2012-08-19 18:00;3.556933333;3.556933333
2012-08-19 18:15;0.638324444;0.638324444
2012-08-19 18:30;2.460705556;2.460705556
2012-08-19 18:45;2.419483333;2.419483333
2012-08-19 19:00;0.565218889;0.565218889
2012-08-19 19:15;2.63901;2.63901
2012-08-19 19:30;2.2714;2.2714
2012-08-19 19:45;0.490006667;0.490006667
2012-08-19 20:00;2.691557778;2.691557778
2012-08-19 20:15;1.936178889;1.936178889
2012-08-19 20:30;1.029813333;1.029813333
2012-08-19 20:45;3.449036667;3.449036667
2012-08-19 21:00;1.686143333;1.686143333
2012-08-19 21:15;1.030852222;1.030852222
2012-08-19 21:30;2.547281111;2.547281111
2012-08-19 21:45;2.121596667;2.121596667
2012-08-19 22:00;3.581958889;3.581958889
2012-08-19 22:15;4.628967778;4.628967778
2012-08-19 22:30;2.121754444;2.121754444
2012-08-19 22:45;6.004377778;6.004377778
2012-08-19 23:00;6.629025556;6.629025556
2012-08-19 23:15;4.539774444;4.539774444
2012-08-19 23:30;3.322575556;3.322575556
2012-08-19 23:45;4.036953333;4.036953333
2012-08-20 0:00;2.162951111;2.162951111
2012-08-20 0:15;2.93048;2.93048
2012-08-20 0:30;1.877856667;1.877856667
2012-08-20 0:45;2.731021111;2.731021111
2012-08-20 1:00;1.971473333;1.971473333
2012-08-20 1:15;2.035487778;2.035487778
2012-08-20 1:30;2.136642222;2.136642222
2012-08-20 1:45;1.47093;1.47093
2012-08-20 2:00;1.616982222;1.616982222
2012-08-20 2:15;2.403827778;2.403827778
2012-08-20 2:30;1.228485556;1.228485556
2012-08-20 2:45;1.380954444;1.380954444
